ageBP CT_Position_1 GA_Position_1
851 0.11797171438427 0.115251026207768
6165 0.203125 0.123626373626374
999 0.142759094028826 0.123677248677249
5687 0.125827814569536 0.146953405017921
2900 0.103770321687997 0.113425065079955
174 0.0306972664815086 0.0331427086041071
4040 0.182410423452769 0.118343195266272
2520 0.135566188197767 0.100149476831091
1107 0.134146341463415 0.146666666666667
3761 0.142857142857143 0
3812 0.125 0.151260504201681
841 0.123711340206186 0.149484536082474
1873 0.0574324324324324 0.0596745027124774
4141 0.0458715596330275 0.078125
1050 0.0786267995570321 0.0869800108049703
1848 0.0526315789473684 0.153846153846154
1960 0.123054114158636 0.143064633260712
3130 0.1049766718507 0.138582677165354
3175 0 0
3057 0.166666666666667 0.195121951219512
1161 0 0.1
1672 0.131987577639752 0.162962962962963
1414 0.19047619047619 0
3758 0 0
4474 0.222222222222222 0.180412371134021
