CT_Position_1 CT_Position_2 CT_Position_3 CT_Position_4 CT_Position_5 CT_Position_6 CT_Position_7 CT_Position_8 CT_Position_9 GA_Position_1 _Position_2 GA_Position_3 GA_Position_4 GA_Position_5 GA_Position_6 GA_Position_7 GA_Position_8 GA_Position_9 ageBP
0.11797171438427 0.00571646341463415 0.00286168521462639 0.00462249614791988 0.0019657399606852 0.00233236151603499 0.000900360144057623 0.00280199252801993 0.00143884892086331 0.115251026207768 0.00811359026369168 0.00608087564609304 0.00223285486443381 0.00213936430317848 0.00149700598802395 0.00094132412927518 0.00122399020807834 0.00150375939849624 851
0.203125 0.0177514792899408 0.0105820105820106 0 0.00367647058823529 0.00125470514429109 0 0 0 0.123626373626374 0.0018796992481203 0 0.00868306801736614 0 0 0 0 0 6165
0.142759094028826 0.00218181818181818 0.00252525252525253 0.00240963855421687 0.00542822677925211 0.00115141047783535 0.00224719101123596 0.0022766078542971 0.00181159420289855 0.123677248677249 0.00544747081712062 0 0.00598802395209581 0.00178890876565295 0.00302663438256659 0.00313873195229127 0.00231615518239722 0.00225479143179256 999
0.125827814569536 0 0 0 0.00285714285714286 0 0 0 0.00291545189504373 0.146953405017921 0 0.00294985250737463 0 0.00432900432900433 0 0 0 0 5687
0.103770321687997 0.00986582478295185 0.00567286479672234 0.00121765601217656 0.00327478416195296 0.000912408759124088 0.0036101083032491 0.000896860986547085 0.000568828213879408 0.113425065079955 0.00556586270871985 0.003830194701564 0.00428003668602874 0.000918554807103491 0.00209455415918612 0.00184275184275184 0.00386559619387452 0.00147885241052943 2900
0.0306972664815086 0.0024330900243309 0.00151703213349883 0.00188704677180213 0.000811249323958897 0.00149395626782561 0.00197963800904977 0.00166458593424886 0.000953029271613342 0.0331427086041071 0.00578920483568874 0.00403574517151917 0.00377017041170261 0.00103826757638683 0.00259067357512953 0.00314889788573999 0.00213614354884648 0.00185317177476835 174
0.182410423452769 0.00510204081632653 0.00294117647058824 0.00529100529100529 0.00221238938053097 0 0 0.00232558139534884 0 0.118343195266272 0 0 0.005 0.00763358778625954 0 0 0 0.0048780487804878 4040
0.135566188197767 0 0.0037593984962406 0 0.00251256281407035 0 0.00372670807453416 0 0.00123762376237624 0.100149476831091 0.00310077519379845 0 0.0133010882708585 0 0.0034443168771527 0 0 0 2520
0.134146341463415 0 0 0 0 0 0.0123456790123457 0 0 0.146666666666667 0.0273972602739726 0.0114942528735632 0 0 0 0 0.0208333333333333 0 1107
0.142857142857143 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 3761
0.125 0.00884955752212389 0.00632911392405063 0 0.00719424460431655 0 0 0 0.0120481927710843 0.151260504201681 0 0 0.00763358778625954 0.0115606936416185 0.00657894736842105 0.00689655172413793 0 0.00628930817610063 3812
0.123711340206186 0 0 0 0 0 0 0 0 0.149484536082474 0.0132450331125828 0 0 0.0045662100456621 0 0.0162162162162162 0.0137614678899083 0.00881057268722467 841
0.0574324324324324 0.00568181818181818 0.00151515151515152 0.0015748031496063 0.00149700598802395 0.00336700336700337 0 0.00142247510668563 0.00171526586620926 0.0596745027124774 0.0242914979757085 0.00354609929078014 0.0125588697017268 0.00333889816360601 0.00324149108589951 0.0140350877192982 0.00749625187406297 0.0029673590504451 1873
0.0458715596330275 0.0306122448979592 0 0 0.00900900900900901 0 0 0 0.00854700854700855 0.078125 0.03125 0 0 0 0.00980392156862745 0 0 0 4141
0.0786267995570321 0.00823305889803673 0.00353356890459364 0.00706001008572869 0.000896057347670251 0.000508130081300813 0.00102406554019457 0.00339640950994663 0.000478927203065134 0.0869800108049703 0.0099009900990099 0.00971867007672634 0.00748129675810474 0.00780107264748903 0.00437530384054448 0.0110993657505285 0.00148001973359645 0.0092497430626927 1050
0.0526315789473684 0 0 0 0 0 0 0 0 0.153846153846154 0 0 0 0 0 0 0 0 1848
0.123054114158636 0.00242130750605327 0.00403768506056528 0.00306560392397302 0.000672043010752688 0.000638977635782748 0 0.000598086124401914 0.00181268882175227 0.143064633260712 0.0164502164502165 0.0136690647482014 0.00712435233160622 0.00242718446601942 0.0025974025974026 0.0032071840923669 0.0068922305764411 0.00896592946802152 1960
0.1049766718507 0.00816993464052288 0.0053835800807537 0.00203665987780041 0 0.000660938532716457 0.000636132315521629 0.000659195781147001 0.000664010624169987 0.138582677165354 0.0188679245283019 0.0143835616438356 0.00498930862437634 0.00768156424581006 0.00411522633744856 0.00202156334231806 0.00394736842105263 0.006 3130
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3175
0.166666666666667 0 0 0 0 0 0 0 0 0.195121951219512 0.0161290322580645 0 0 0 0.0142857142857143 0.0131578947368421 0 0.0138888888888889 3057
0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0.111111111111111 0 0 0 1161
0.131987577639752 0.00868055555555556 0 0.00292825768667643 0 0 0 0.00113122171945701 0 0.162962962962963 0.0293542074363992 0.00473186119873817 0 0.00263852242744063 0.00377833753148615 0.00145137880986938 0.0197368421052632 0.00334821428571429 1672
0.19047619047619 0 0 0 0 0 0 0 0 0 0 0 0.0666666666666667 0 0 0 0 0 1414
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3758
0.222222222222222 0.0170940170940171 0 0 0 0 0 0 0.00613496932515337 0.180412371134021 0 0 0 0 0 0 0.0099009900990099 0 4474
